@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute Class {1,2}

@data
130.4443,197.189,89.3622,201.5827,16.7345,1
137.8419,190,92.75,309.75,13.6048,1
125.5174,249.0642,116.0608,732.6419,12.0793,1
122.8478,352.7869,265.9344,380.0984,18.1865,1
130.2641,203.9647,99.5529,300.4353,50.2909,1
123.8257,218.2973,99.8378,650.7838,24.9553,1
140.1356,210.5319,93.9787,422.5957,26.3473,1
124.0102,215.5946,117.027,477.2973,24.5746,2
183.2812,222.5,111,457,4,1
140.6034,214.4483,100,676.7586,19.0907,1
131.4975,270.24,125.72,757.28,20.521,1
127.4378,256.5676,129.3784,633.3514,15.9977,1
144.9602,226,101,611,21.4002,1
126.4634,195,85.25,86.5,7.3272,1
159.517,223.6364,98.9091,556.4545,23.8535,1
129.0671,251.9445,116.5935,706.0503,8.7812,1
137.8436,210.4878,99.7317,614.6585,48.0076,1
126.2159,268.3636,161.0909,455,27.8855,1
128.1208,196.3023,111.3953,345.186,17.702,2
145.6029,223.8235,98.5294,660.5882,42.4834,1
126.4444,209.3333,92.3333,596.7778,16.7583,1
119.0585,227.7288,106.5085,744.3729,19.1598,1
119.597,212.0714,95.7619,587.9048,37.1845,1
133.4198,241.7727,120.8182,586.6818,22.6436,1
131.0349,197.8254,88.9365,332.5873,24.4355,1
143.087,195.8077,89.8462,424.5,22.3616,1
135.7036,223.4474,118.3684,610.2368,24.7107,2
126.3021,226,97,545,37.6253,1
128.1831,194.1081,85.027,372.1081,26.9429,1
122.0451,217.96,100.2,617.28,19.1797,1
136.7147,208.913,91.7391,601.087,32.9343,1
123.3123,257.8421,154.2368,261.7105,22.1726,1
117.1595,239.0635,115.2222,620.3492,26.6363,1
128.6248,187.4407,80.7893,347.1041,29.998,1
136.0121,212.8387,90.8065,584.4516,29.745,1
94.125,247,123,865,14.1539,1
136.0053,289.125,165.0833,428.1667,15.3622,1
127.8072,202.712,120.7228,415.8043,27.259,2
140.6166,208,96.2432,448.2703,20.8566,1
128.548,222.3641,100.4678,653.1204,26.9576,1
125.6719,189.55,82.35,251.575,17.8627,1
125.5188,226.6523,107.7386,547.6136,33.7702,1
153.4545,259.8571,133.5714,657,22.2252,1
112.9937,203.525,94,410.5,22.5771,1
106.9844,213,94,498,24.5599,1
